file,label,score
/Users/muradbozik/_datasets/Faces/seed0000.png,"(25, 32)",0.99
/Users/muradbozik/_datasets/Faces/seed0001.png,"(8, 12)",1.0
/Users/muradbozik/_datasets/Faces/seed0002.png,"(0, 2)",0.98
/Users/muradbozik/_datasets/Faces/seed0004.png,"(25, 32)",0.99
/Users/muradbozik/_datasets/Faces/seed0005.png,"(25, 32)",0.97
/Users/muradbozik/_datasets/Faces/seed0006.png,"(60, 100)",0.89
/Users/muradbozik/_datasets/Faces/seed0007.png,"(48, 53)",0.45
/Users/muradbozik/_datasets/Faces/seed0008.png,"(4, 6)",0.71
/Users/muradbozik/_datasets/Faces/seed0009.png,"(25, 32)",1.0
/Users/muradbozik/_datasets/Faces/seed0010.png,"(0, 2)",0.54
/Users/muradbozik/_datasets/Faces/seed0011.png,"(48, 53)",0.78
/Users/muradbozik/_datasets/Faces/seed0012.png,"(25, 32)",0.82
/Users/muradbozik/_datasets/Faces/seed0013.png,"(48, 53)",0.97
/Users/muradbozik/_datasets/Faces/seed0014.png,"(25, 32)",0.72
/Users/muradbozik/_datasets/Faces/seed0015.png,"(15, 20)",0.92
/Users/muradbozik/_datasets/Faces/seed0016.png,"(25, 32)",0.8
/Users/muradbozik/_datasets/Faces/seed0017.png,"(4, 6)",0.96
/Users/muradbozik/_datasets/Faces/seed0018.png,"(60, 100)",0.91
/Users/muradbozik/_datasets/Faces/seed0021.png,"(25, 32)",1.0
/Users/muradbozik/_datasets/Faces/seed0022.png,"(25, 32)",0.99
/Users/muradbozik/_datasets/Faces/seed0023.png,"(25, 32)",0.9
/Users/muradbozik/_datasets/Faces/seed0024.png,"(25, 32)",0.69
/Users/muradbozik/_datasets/Faces/seed0025.png,"(25, 32)",0.93
/Users/muradbozik/_datasets/Faces/seed0026.png,"(25, 32)",0.99
/Users/muradbozik/_datasets/Faces/seed0027.png,"(4, 6)",0.92
/Users/muradbozik/_datasets/Faces/seed0028.png,"(38, 43)",0.71
/Users/muradbozik/_datasets/Faces/seed0029.png,"(60, 100)",0.52
/Users/muradbozik/_datasets/Faces/seed0030.png,"(25, 32)",0.76
/Users/muradbozik/_datasets/Faces/seed0031.png,"(25, 32)",0.53
/Users/muradbozik/_datasets/Faces/seed0032.png,"(60, 100)",0.44
/Users/muradbozik/_datasets/Faces/seed0033.png,"(48, 53)",0.49
/Users/muradbozik/_datasets/Faces/seed0034.png,"(25, 32)",0.99
/Users/muradbozik/_datasets/Faces/seed0035.png,"(25, 32)",0.81
/Users/muradbozik/_datasets/Faces/seed0036.png,"(25, 32)",0.56
/Users/muradbozik/_datasets/Faces/seed0037.png,"(0, 2)",0.96
/Users/muradbozik/_datasets/Faces/seed0038.png,"(38, 43)",0.59
/Users/muradbozik/_datasets/Faces/seed0039.png,"(25, 32)",0.59
/Users/muradbozik/_datasets/Faces/seed0040.png,"(25, 32)",0.93
/Users/muradbozik/_datasets/Faces/seed0041.png,"(25, 32)",0.74
/Users/muradbozik/_datasets/Faces/seed0042.png,"(0, 2)",1.0
/Users/muradbozik/_datasets/Faces/seed0043.png,"(38, 43)",0.53
/Users/muradbozik/_datasets/Faces/seed0044.png,"(15, 20)",0.77
/Users/muradbozik/_datasets/Faces/seed0045.png,"(25, 32)",0.39
/Users/muradbozik/_datasets/Faces/seed0046.png,"(25, 32)",0.92
/Users/muradbozik/_datasets/Faces/seed0047.png,"(15, 20)",0.97
/Users/muradbozik/_datasets/Faces/seed0048.png,"(25, 32)",0.71
/Users/muradbozik/_datasets/Faces/seed0049.png,"(25, 32)",0.94
/Users/muradbozik/_datasets/Faces/seed0050.png,"(38, 43)",0.48
/Users/muradbozik/_datasets/Faces/seed0051.png,"(25, 32)",0.8
/Users/muradbozik/_datasets/Faces/seed0052.png,"(4, 6)",0.82
/Users/muradbozik/_datasets/Faces/seed0053.png,"(25, 32)",0.98
/Users/muradbozik/_datasets/Faces/seed0054.png,"(4, 6)",0.97
/Users/muradbozik/_datasets/Faces/seed0055.png,"(38, 43)",0.96
/Users/muradbozik/_datasets/Faces/seed0056.png,"(25, 32)",0.55
/Users/muradbozik/_datasets/Faces/seed0057.png,"(25, 32)",0.94
